time,pvPower,ldPower
2025-04-03 11:21,3.194,0.887
2025-04-03 11:26,3.217,0.8240000000000001
2025-04-03 11:30,3.267,0.576
2025-04-03 11:35,3.307,1.297
2025-04-03 11:39,3.341,2.417
2025-04-03 11:44,3.362,2.6370000000000005
2025-04-03 11:48,3.383,2.0789999999999997
2025-04-03 11:53,3.432,0.229
2025-04-03 11:57,3.456,0.756
2025-04-03 12:02,3.474,0.75
2025-04-03 12:06,3.495,0.388
2025-04-03 12:11,3.525,0.406
2025-04-03 12:15,3.548,0.402
2025-04-03 12:20,3.565,2.057
2025-04-03 12:24,3.599,2.143
2025-04-03 12:29,3.622,2.272
2025-04-03 12:33,3.639,0.461
2025-04-03 12:38,3.652,0.367
2025-04-03 12:42,3.684,0.406
2025-04-03 12:47,3.688,0.414
2025-04-03 12:51,3.704,0.401
2025-04-03 12:56,3.715,0.467
2025-04-03 13:00,3.736,0.456
2025-04-03 13:05,3.735,0.44000000000000006
2025-04-03 13:09,3.769,0.449
2025-04-03 13:14,3.778,0.502
2025-04-03 13:18,3.785,0.48
2025-04-03 13:27,3.792,0.44
2025-04-03 13:32,3.821,1.394
2025-04-03 13:36,3.805,0.411
2025-04-03 13:41,3.796,0.661
2025-04-03 13:45,3.798,0.437
2025-04-03 13:50,3.779,0.499
2025-04-03 13:54,3.756,0.496
2025-04-03 13:59,3.765,1.928
2025-04-03 14:03,3.751,3.356
2025-04-03 14:08,3.748,2.185
2025-04-03 14:12,3.723,2.302
2025-04-03 14:17,3.707,2.378
2025-04-03 14:21,3.689,2.467
2025-04-03 14:26,3.668,2.622
2025-04-03 14:30,3.642,2.649
2025-04-03 14:35,3.624,2.708
2025-04-03 14:39,3.596,2.7889999999999997
2025-04-03 14:44,3.558,2.848
2025-04-03 14:48,3.529,0.382
2025-04-03 14:53,3.496,0.4479999999999999
2025-04-03 14:57,3.473,0.407
2025-04-03 15:02,3.446,0.367
2025-04-03 15:06,3.408,0.391
2025-04-03 15:11,3.37,0.383
2025-04-03 15:15,3.34,0.399
2025-04-03 15:20,3.32,0.41
2025-04-03 15:24,3.282,0.405
2025-04-03 15:29,3.252,0.429
2025-04-03 15:33,3.241,0.91
2025-04-03 15:38,3.218,0.952
2025-04-03 15:42,3.192,0.455
2025-04-03 15:47,3.183,0.416
2025-04-03 15:51,3.169,0.417
2025-04-03 15:56,3.164,0.368
2025-04-03 16:00,3.176,0.34299999999999997
2025-04-03 16:05,3.178,0.378
2025-04-03 16:09,3.17,0.33999999999999997
2025-04-03 16:14,3.165,0.344
2025-04-03 16:18,3.167,0.352
2025-04-03 16:23,3.159,0.365
2025-04-03 16:27,3.152,0.33999999999999997
2025-04-03 16:32,3.136,0.344
2025-04-03 16:36,3.117,0.345
2025-04-03 16:41,3.109,0.364
2025-04-03 16:45,3.086,0.34299999999999997
2025-04-03 16:50,3.063,1.632
2025-04-03 16:54,3.044,1.6760000000000002
2025-04-03 16:59,2.987,2.241
2025-04-03 17:03,2.929,1.741
2025-04-03 17:08,2.876,1.104
2025-04-03 17:12,2.886,3.303
2025-04-03 17:17,2.774,2.377
2025-04-03 17:21,2.731,0.611
2025-04-03 17:26,2.654,0.384
2025-04-03 17:30,2.61,0.33499999999999996
2025-04-03 17:35,2.502,0.396
2025-04-03 17:39,2.479,0.38
2025-04-03 17:44,2.469,0.4489999999999999
2025-04-03 17:48,2.352,0.467
2025-04-03 17:53,2.323,2.3819999999999997
2025-04-03 17:57,2.312,2.4179999999999997
2025-04-03 18:02,2.255,2.484
2025-04-03 18:06,2.187,2.605
2025-04-03 18:11,2.043,2.779
2025-04-03 18:15,2.042,2.838
2025-04-03 18:20,1.868,0.359
2025-04-03 18:24,1.838,0.319
2025-04-03 18:29,1.783,0.33199999999999996
2025-04-03 18:33,1.723,0.316
2025-04-03 18:38,1.634,0.312
2025-04-03 18:42,0.787,0.29400000000000004
2025-04-03 18:47,1,0.507
2025-04-03 18:51,0.934,0.541
2025-04-03 18:56,0.901,0.545
2025-04-03 19:00,0.799,0.548
2025-04-03 19:05,0.145,0.488
2025-04-03 19:09,0.124,0.498
2025-04-03 19:14,0.102,0.395
2025-04-03 19:18,0.091,0.413
2025-04-03 19:23,0.08,0.42
2025-04-03 19:27,0.061,0.409
2025-04-03 19:32,0.05,0.429
2025-04-03 19:36,0.04,0.48
2025-04-03 19:41,0.042,1.38
2025-04-03 19:45,0.024,0.44100000000000006
2025-04-03 19:50,0.02,0.484
2025-04-03 19:54,0.016,0.986
2025-04-03 19:59,0.01,0.4
2025-04-03 20:03,0.005,0.389
2025-04-03 20:08,0.006,0.44200000000000006
2025-04-03 20:12,0.004,0.4260000000000001
2025-04-03 20:17,0.004,0.43700000000000006
2025-04-03 20:21,0.003,0.44100000000000006
2025-04-03 20:26,0.002,0.515
2025-04-03 20:30,0.001,0.513
2025-04-03 20:35,0,0.517
2025-04-03 20:39,0,0.346
2025-04-03 20:44,0,0.34099999999999997
2025-04-03 20:48,0,0.33299999999999996
2025-04-03 20:53,0,2.3329999999999997
2025-04-03 20:57,0,2.439
2025-04-03 21:02,0,2.5549999999999997
2025-04-03 21:06,0,3.222
2025-04-03 21:11,0,2.872
2025-04-03 21:15,0,2.766
2025-04-03 21:20,0,2.847
2025-04-03 21:24,0,0.234
2025-04-03 21:29,0,0.286
2025-04-03 21:33,0,0.265
2025-04-03 21:38,0,0.277
2025-04-03 21:42,0,0.269
2025-04-03 21:47,0,0.271
2025-04-03 21:51,0,0.265
2025-04-03 21:56,0,0.29500000000000004
2025-04-03 22:00,0,0.254
2025-04-03 22:05,0,0.257
2025-04-03 22:09,0,0.30300000000000005
2025-04-03 22:14,0,0.29100000000000004
2025-04-03 22:18,0,0.27
2025-04-03 22:23,0,0.28600000000000003
2025-04-03 22:27,0,0.305
2025-04-03 22:32,0,0.277
2025-04-03 22:36,0,0.231
2025-04-03 22:41,0,0.234
2025-04-03 22:46,0,1.142
2025-04-03 22:50,0,0.226
2025-04-03 22:55,0,0.245
2025-04-03 22:59,0,0.233
